filename,num_edges,num_vertices,graph_density,num_colors_used_dsatur,dsatur_time,num_colors_used_sat,sat_time_matched_with_dsatur,sat_time,sat_best_solution_iteration_time
1-FullIns_3.col,100,30,0.22988505747126436,4,0.0003851000001304783,4,0.0006065000052331015,0.0006065000052331015,0.0005710000041290186
1-FullIns_4.col,593,93,0.1386161757830762,5,0.0037302999990060925,5,0.001936000000569038,0.001936000000569038,0.0018247999978484586
1-FullIns_5.col,3247,282,0.08195149037126777,6,0.042064000001118984,6,0.009248599999409635,0.009248599999409635,0.008875100000295788
1-Insertions_4.col,232,67,0.10492989597467209,5,0.001709399999526795,5,0.0011658000003080815,0.0011658000003080815,0.0010966999980155379
1-Insertions_5.col,1227,202,0.0604403723954485,6,0.01731129999825498,6,0.004502499999944121,0.004502499999944121,0.004295099999580998
1-Insertions_6.col,6337,607,0.03445501057519261,7,0.19505690000369214,7,0.021602599998004735,0.021602599998004735,0.020873200002824888
2-FullIns_3.col,201,52,0.1515837104072398,5,0.0011003000035998411,5,0.0010163999977521598,0.0010163999977521598,0.0009577000018907711
2-FullIns_4.col,1621,212,0.07247607976392739,6,0.021866199997020885,6,0.005240399994363543,0.005240399994363543,0.005000600001949351
2-FullIns_5.col,12201,852,0.033655517121530594,7,0.49371390000305837,7,0.0370690999989165,0.0370690999989165,0.03582020000612829
2-Insertions_3.col,72,37,0.10810810810810811,4,0.0005039999959990382,4,0.0005986999967717566,0.0005986999967717566,0.000555599996005185
2-Insertions_4.col,541,149,0.04906584436785779,5,0.008217199996579438,5,0.002173399996536318,0.002173399996536318,0.002034800003457349
2-Insertions_5.col,3936,597,0.022124043033961757,6,0.15450479999708477,6,0.013283999993291218,0.013283999993291218,0.012696199999481905
3-FullIns_3.col,346,80,0.10949367088607595,6,0.0025446999934501946,6,0.0016784000035841018,0.0016784000035841018,0.0015885999964666553
3-FullIns_4.col,3524,405,0.043075418652976406,7,0.07952839999779826,7,0.012747100001433864,0.012747100001433864,0.012263099997653626
3-FullIns_5.col,33751,2030,0.016388475479925318,8,2.8242221000036807,8,0.11678820000088308,0.11678820000088308,0.1135909000004176
3-Insertions_3.col,110,56,0.07142857142857142,4,0.0010696000026655383,4,0.0007380999959423207,0.0007380999959423207,0.0006861000001663342
