filename,num_edges,num_vertices,graph_density,num_colors_used_dsatur,dsatur_time,num_colors_used_sat,sat_time_matched_with_dsatur,sat_time,sat_best_solution_iteration_time
3-Insertions_5.col,9695,1406,0.009815584455030044,6,0.8698011999949813,6,0.03250169999955688,0.03250169999955688,0.031110800002352335
4-FullIns_3.col,541,114,0.0839931687626145,7,0.005554000003030524,7,0.002764600001682993,0.002764600001682993,0.0026480999949853867
4-FullIns_4.col,6650,690,0.027975852422119855,8,0.25485379999736324,8,0.027319699998770375,0.027319699998770375,0.02647360000264598
4-FullIns_5.col,77305,4146,0.008996710535886465,9,14.119232999997621,9,0.2986786999972537,0.2986786999972537,0.2916514999960782
4-Insertions_3.col,156,79,0.05063291139240506,4,0.002054099997621961,4,0.0009415999957127497,0.0009415999957127497,0.0008732999995118007
4-Insertions_4.col,1795,475,0.01594492560515212,5,0.08123399999749381,5,0.006602499997825362,0.006602499997825362,0.006210299994563684
5-FullIns_3.col,792,154,0.06722689075630252,8,0.009807999995246064,8,0.004452400004083756,0.004452400004083756,0.0042935999954352155
5-FullIns_4.col,11395,1085,0.01937694492152295,9,0.6412520000012591,9,0.05240369999955874,0.05240369999955874,0.05103870000311872
abb313GPIA.col,65390,1557,0.044160283388579205,10,2.8233833000049344,9,1.1957782999961637,1.5053684999948018,0.30953649999719346
anna.col,986,138,0.05215275573891886,11,0.007733099999313708,11,0.005218400001467671,0.005218400001467671,0.005077699999674223
ash331GPIA.col,4185,662,0.019109561179390378,6,0.18837870000425028,4,0.10011919999669772,0.1202904000019771,0.008863100003509317
ash608GPIA.col,7844,1216,0.010618366904916613,5,0.6445988999985275,4,0.11428690000320785,0.13093800000206102,0.016623200004687533
ash958GPIA.col,12506,1916,0.006816856266045995,6,1.6120890999955009,4,0.24378459999570623,0.3062454999962938,0.028166900003270712
david.col,812,87,0.10852713178294573,11,0.003394899998966139,11,0.003595900001528207,0.003595900001528207,0.003497999998216983
DSJC1000.1.col,49629,1000,0.09935735735735736,27,1.595810500002699,25,1.6534309999988182,2.716450799998711,0.5580780000018422
DSJC1000.5.col,249826,1000,0.5001521521521521,115,6.960795300001337,115,97.8381292999984,97.8381292999984,13.395026300000609
DSJC125.1.col,736,125,0.09496774193548387,6,0.00690020000183722,5,0.006587199997738935,0.02548269999533659,0.01888409999810392
DSJC125.5.col,3891,125,0.5020645161290322,22,0.01661430000240216,19,0.0925552000044263,0.4802211000060197,0.226361300003191
DSJC125.9.col,6961,125,0.8981935483870968,51,0.02580160000070464,47,0.6097175000031712,1.5126648000004934,0.22875150000618305
DSJC250.1.col,3218,250,0.10338955823293172,10,0.038248799995926674,9,0.03203829999984009,0.049600199999986216,0.017547199997352436
DSJC250.5.col,15668,250,0.5033895582329317,37,0.11527009999554139,35,1.1836919999987003,5.832766100000299,3.1508480999982567
DSJC250.9.col,27897,250,0.896289156626506,92,0.18889489999855869,88,2.4816834000012022,10.045024400002148,2.850704099997529
DSJC500.1.col,12458,500,0.09986372745490982,16,0.23687689999496797,15,0.27380339999945136,0.3522898000010173,0.07844209999893792
DSJC500.5.col,62624,500,0.5019959919839679,65,0.8544268999976339,63,11.780990400002338,22.647974200001045,6.868663999994169
DSJC500.9.col,112437,500,0.9012985971943888,170,1.4950903999997536,160,157.96863350000058,157.96863350000058,24.55163029999676
DSJR500.1.col,3555,500,0.028496993987975953,13,0.11559049999777926,12,0.03349330000492046,0.0661270999989938,0.03260370000498369
DSJR500.1c.col,121275,500,0.9721442885771543,90,1.5839370999965467,90,90.8931595000031,90.8931595000031,19.319728399997985
DSJR500.5.col,58862,500,0.47183967935871746,130,0.9203966999994009,131,42.422115599998506,42.422115599998506,14.076471599997603
fpsol2.i.1.col,11654,496,0.3233091050324585,65,0.11717330000101356,65,0.3710821999993641,0.3710821999993641,0.3701465999984066
fpsol2.i.2.col,8691,451,0.13227706497420208,30,0.34977109999454115,30,0.1498377000025357,0.1498377000025357,0.1489724999992177
fpsol2.i.3.col,8688,425,0.1322314049586777,30,0.134823200001847,30,0.152965100001893,0.152965100001893,0.1521126000006916
games120.col,1276,120,0.08935574229691877,9,0.005881599994609132,9,0.00527190000138944,0.00527190000138944,0.005134300001373049
homer.col,3258,561,0.010558040054442932,13,0.1147761000029277,999,999,999,999
huck.col,602,74,0.1114402073306183,11,0.002267500000016298,11,0.0030484000017168,0.0030484000017168,0.0029668999995919876
inithx.i.1.col,18707,864,0.13916724321348597,54,0.39326030000665924,54,0.5390449999977136,0.5390449999977136,0.5374509999965085
inithx.i.2.col,13979,645,0.08995321840633708,31,0.32927619999827584,31,0.20802459999686107,0.20802459999686107,0.2066731000013533
inithx.i.3.col,13969,621,0.0895672636107745,31,0.3231090999979642,31,0.20634609999979148,0.20634609999979148,0.20501659999717958
