filename,num_edges,num_vertices,graph_density,num_colors_used_dsatur,dsatur_time,num_colors_used_sat,sat_time_matched_with_dsatur,sat_time,sat_best_solution_iteration_time
1-FullIns_3.col,100,30,0.22988505747126436,4,0.00038070000300649554,4,0.0006166999955894426,0.0006166999955894426,0.0005810000002384186
1-FullIns_4.col,593,93,0.1386161757830762,5,0.0038289000003715046,5,0.0019680999976117164,0.0019680999976117164,0.0018596999943838455
1-FullIns_5.col,3247,282,0.08195149037126777,6,0.04285060000256635,6,0.009301199999754317,0.009301199999754317,0.00892319999547908
1-Insertions_4.col,232,67,0.10492989597467209,5,0.0017233000035048462,5,0.001202999999804888,0.001202999999804888,0.001080599999113474
1-Insertions_5.col,1227,202,0.0604403723954485,6,0.0173166999957175,6,0.00450740000087535,0.00450740000087535,0.004294800004572608
1-Insertions_6.col,6337,607,0.03445501057519261,7,0.19551700000010896,7,0.02196380000532372,0.02196380000532372,0.021227000004728325
2-FullIns_3.col,201,52,0.1515837104072398,5,0.0011147000041091815,5,0.0010077999977511354,0.0010077999977511354,0.0009491999953752384
2-FullIns_4.col,1621,212,0.07247607976392739,6,0.022069099999498576,6,0.005256500000541564,0.005256500000541564,0.0050212999994982965
2-FullIns_5.col,12201,852,0.033655517121530594,7,0.4916215000048396,7,0.0370686999958707,0.0370686999958707,0.03582499999902211
2-Insertions_3.col,72,37,0.10810810810810811,4,0.0004964000036125071,4,0.0006012999947415665,0.0006012999947415665,0.0005621000018436462
2-Insertions_4.col,541,149,0.04906584436785779,5,0.008198499999707565,5,0.0021487000049091876,0.0021487000049091876,0.0020178999984636903
2-Insertions_5.col,3936,597,0.022124043033961757,6,0.1549308000030578,6,0.013271899995743297,0.013271899995743297,0.012684499997703824
3-FullIns_3.col,346,80,0.10949367088607595,6,0.002600499996333383,6,0.0016744999957154505,0.0016744999957154505,0.0015866999965510331
3-FullIns_4.col,3524,405,0.043075418652976406,7,0.07950649999838788,7,0.01268520000303397,0.01268520000303397,0.012202300000353716
3-FullIns_5.col,33751,2030,0.016388475479925318,8,2.8478467000022647,8,0.11649089999991702,0.11649089999991702,0.11326730000291718
3-Insertions_3.col,110,56,0.07142857142857142,4,0.0010701999999582767,4,0.0007408999954350293,0.0007408999954350293,0.0006880000000819564
3-Insertions_4.col,1046,281,0.026588713777325877,5,0.028614100003323983,5,0.004544700001133606,0.004544700001133606,0.004310700001951773
3-Insertions_5.col,9695,1406,0.009815584455030044,6,0.8689153999948758,6,0.03222749999986263,0.03222749999986263,0.030830199997581076
4-FullIns_3.col,541,114,0.0839931687626145,7,0.0054630000013276,7,0.0027618000021902844,0.0027618000021902844,0.0026463000031071715
4-FullIns_4.col,6650,690,0.027975852422119855,8,0.2533867999954964,8,0.026767299998027738,0.026767299998027738,0.025928400005795993
4-FullIns_5.col,77305,4146,0.008996710535886465,9,14.118678399994678,9,0.29603850000421517,0.29603850000421517,0.289067800003977
4-Insertions_3.col,156,79,0.05063291139240506,4,0.0020743999994010665,4,0.0009231999938492663,0.0009231999938492663,0.0008559999987483025
4-Insertions_4.col,1795,475,0.01594492560515212,5,0.08097529999940889,5,0.006503099997644313,0.006503099997644313,0.006055099998775404
5-FullIns_3.col,792,154,0.06722689075630252,8,0.009770500000740867,8,0.004470299994864035,0.004470299994864035,0.00430919999780599
5-FullIns_4.col,11395,1085,0.01937694492152295,9,0.6376079000037862,9,0.05053159999806667,0.05053159999806667,0.04920230000425363
abb313GPIA.col,65390,1557,0.044160283388579205,10,2.8039076999993995,9,1.2210111000022152,1.5307347999987542,0.30966759999864735
anna.col,986,138,0.05215275573891886,11,0.007789499999489635,11,0.005263500002911314,0.005263500002911314,0.005036399998061825
ash331GPIA.col,4185,662,0.019109561179390378,6,0.1875276999999187,4,0.09990719999768771,0.1201874999969732,0.008904599999368656
ash608GPIA.col,7844,1216,0.010618366904916613,5,0.6446368000033544,4,0.11286669999390142,0.13001799999619834,0.017114800000854302
ash958GPIA.col,12506,1916,0.006816856266045995,6,1.6053249999968102,4,0.24533410000003641,0.30645129999902565,0.027903499998501502
david.col,812,87,0.10852713178294573,11,0.003360499998962041,11,0.0036029999973834492,0.0036029999973834492,0.0035061000016867183
DSJC1000.1.col,49629,1000,0.09935735735735736,27,1.6026853999937885,25,1.5969782999964082,2.633729300003324,0.5434355000033975
DSJC1000.5.col,249826,1000,0.5001521521521521,115,6.966091700000106,115,90.78141670000332,90.78141670000332,12.514733500000148
DSJC125.1.col,736,125,0.09496774193548387,6,0.0069565000012516975,5,0.006899599997268524,0.026291999995009974,0.01937750000070082
DSJC125.5.col,3891,125,0.5020645161290322,22,0.01690499999676831,19,0.0909726000027149,0.47583129999839,0.22488529999827733
DSJC125.9.col,6961,125,0.8981935483870968,51,0.02583279999817023,47,0.6167048999996041,1.5209281999996165,0.22838149999734014
DSJC250.1.col,3218,250,0.10338955823293172,10,0.038437099996372126,9,0.03217469999799505,0.04969569999957457,0.017502299997431692
DSJC250.5.col,15668,250,0.5033895582329317,37,0.11481610000191722,35,1.181794700001774,5.799724900003639,3.1388956000009784
DSJC250.9.col,27897,250,0.896289156626506,92,0.18971420000161743,88,2.4447939000019687,10.060868000000482,2.8741179999997257
