filename,num_edges,num_vertices,graph_density,num_colors_used_dsatur,dsatur_time,num_colors_used_sat,sat_time_matched_with_dsatur,sat_time,sat_best_solution_iteration_time
1-FullIns_3.col,100,30,0.22988505747126436,4,0.00039939999987836927,4,0.0006722999969497323,0.0006722999969497323,0.0006333000055747107
1-FullIns_4.col,593,93,0.1386161757830762,5,0.003874100002576597,5,0.002141499993740581,0.002141499993740581,0.0020303999990574084
1-FullIns_5.col,3247,282,0.08195149037126777,6,0.042492599997785874,6,0.009664999997767154,0.009664999997767154,0.009288799999922048
1-Insertions_4.col,232,67,0.10492989597467209,5,0.0017891000024974346,5,0.0012076999992132187,0.0012076999992132187,0.0011272999981883913
1-Insertions_5.col,1227,202,0.0604403723954485,6,0.0173720000020694,6,0.004794100001163315,0.004794100001163315,0.004577899999276269
1-Insertions_6.col,6337,607,0.03445501057519261,7,0.2013267000002088,7,0.02299180000409251,0.02299180000409251,0.02222040000197012
2-FullIns_3.col,201,52,0.1515837104072398,5,0.0011149999991175719,5,0.001050700004270766,0.001050700004270766,0.0009905000042635947
2-FullIns_4.col,1621,212,0.07247607976392739,6,0.021987499996612314,6,0.005499099999724422,0.005499099999724422,0.005254399999103043
2-FullIns_5.col,12201,852,0.033655517121530594,7,0.49118470000394154,7,0.03871670000080485,0.03871670000080485,0.03745419999904698
2-Insertions_3.col,72,37,0.10810810810810811,4,0.0005019999953219667,4,0.0006140999976196326,0.0006140999976196326,0.0005740999986301176
2-Insertions_4.col,541,149,0.04906584436785779,5,0.008210500003769994,5,0.002261900001030881,0.002261900001030881,0.0021227000033832155
2-Insertions_5.col,3936,597,0.022124043033961757,6,0.15456609999819193,6,0.013556299993069842,0.013556299993069842,0.012966800000867806
3-FullIns_3.col,346,80,0.10949367088607595,6,0.0025356000041938387,6,0.0016912999999476597,0.0016912999999476597,0.0016028999962145463
3-FullIns_4.col,3524,405,0.043075418652976406,7,0.07911779999994906,7,0.01291029999993043,0.01291029999993043,0.012433299998519942
3-FullIns_5.col,33751,2030,0.016388475479925318,8,2.822273400000995,8,0.11666229999536881,0.11666229999536881,0.11350120000133757
3-Insertions_3.col,110,56,0.07142857142857142,4,0.001070300000719726,4,0.0007429999968735501,0.0007429999968735501,0.000690799999574665
3-Insertions_4.col,1046,281,0.026588713777325877,5,0.02868029999808641,5,0.00468669999827398,0.00468669999827398,0.004447700004675426
3-Insertions_5.col,9695,1406,0.009815584455030044,6,0.8794029999990016,6,0.03288760000577895,0.03288760000577895,0.03147979999630479
4-FullIns_3.col,541,114,0.0839931687626145,7,0.005366999997931998,7,0.0028244000059203245,0.0028244000059203245,0.0027083000022685155
4-FullIns_4.col,6650,690,0.027975852422119855,8,0.25504820000060135,8,0.026845200001844205,0.026845200001844205,0.025994199997512624
4-FullIns_5.col,77305,4146,0.008996710535886465,9,14.013206600000558,9,0.2992634999973234,0.2992634999973234,0.292396099997859
4-Insertions_3.col,156,79,0.05063291139240506,4,0.0020687000069301575,4,0.0009376000016345643,0.0009376000016345643,0.0008679999955347739
4-Insertions_4.col,1795,475,0.01594492560515212,5,0.08118129999638768,5,0.0065671999982441776,0.0065671999982441776,0.006174900001497008
5-FullIns_3.col,792,154,0.06722689075630252,8,0.01000190000195289,8,0.004621599997335579,0.004621599997335579,0.004462899996724445
5-FullIns_4.col,11395,1085,0.01937694492152295,9,0.6394804000010481,9,0.050602399998751935,0.050602399998751935,0.0492725000003702
abb313GPIA.col,65390,1557,0.044160283388579205,10,2.808939599999576,9,1.210147900004813,1.5226789000007557,0.3124746000030427
anna.col,986,138,0.05215275573891886,11,0.007678000001760665,11,0.005345899997337256,0.005345899997337256,0.005210100003750995
ash331GPIA.col,4185,662,0.019109561179390378,6,0.18880299999727868,4,0.09848709999641869,0.1187255999975605,0.00879660000646254
ash608GPIA.col,7844,1216,0.010618366904916613,5,0.6443116000009468,4,0.11313720000180183,0.1297024000014062,0.016535700000531506
ash958GPIA.col,12506,1916,0.006816856266045995,6,1.611116599997331,4,0.24350430000049528,0.3062705999982427,0.028633100002480205
david.col,812,87,0.10852713178294573,11,0.0033925000025192276,11,0.003609599996707402,0.003609599996707402,0.0035098000007565133
DSJC1000.1.col,49629,1000,0.09935735735735736,27,1.5952163000038126,25,1.6300535999980639,2.697305099994992,0.5508145999992848
DSJC1000.5.col,249826,1000,0.5001521521521521,115,6.909581699997943,115,84.86645710000448,84.86645710000448,11.891710700001568
DSJC125.1.col,736,125,0.09496774193548387,6,0.006916499994986225,5,0.00702090000413591,0.02585910000198055,0.018826999999873806
DSJC125.5.col,3891,125,0.5020645161290322,22,0.01670929999818327,19,0.08910610000020824,0.4826785000041127,0.22806539999874076
DSJC125.9.col,6961,125,0.8981935483870968,51,0.02582339999935357,47,0.6149661000017659,1.521473100001458,0.23035179999715183
DSJC250.1.col,3218,250,0.10338955823293172,10,0.03828199999406934,9,0.03197010000440059,0.049400199997762684,0.017414099995221477
DSJC250.5.col,15668,250,0.5033895582329317,37,0.11467650000122376,35,1.1796362999957637,5.790544299998146,3.1389724999971804
DSJC250.9.col,27897,250,0.896289156626506,92,0.193840400002955,88,2.452017400006298,10.04709400000138,2.904504199999792
DSJC500.1.col,12458,500,0.09986372745490982,16,0.22933069999999134,15,0.27113159999862546,0.3491569999969215,0.07798899999761488
DSJC500.5.col,62624,500,0.5019959919839679,65,0.8551574000011897,63,11.53931719999673,22.27541249999922,6.7344258000011905
DSJC500.9.col,112437,500,0.9012985971943888,170,1.4939540000050329,160,144.44106289999763,144.44106289999763,22.798287600002368
