filename,num_edges,num_vertices,graph_density,num_colors_used_dsatur,dsatur_time,num_colors_used_sat,sat_time_matched_with_dsatur,sat_time,sat_best_solution_iteration_time
DSJC125.9.col,6961,125,0.8981935483870968,51,0.02592519999598153,47,0.6100942000048235,1.5128244000006816,0.2262367000002996
DSJC250.1.col,3218,250,0.10338955823293172,10,0.038199700000404846,9,0.03214520000619814,0.04962860000523506,0.01746869999624323
DSJC250.5.col,15668,250,0.5033895582329317,37,0.11483020000014221,35,1.1820823999951244,5.805496499997389,3.139183500003128
DSJC250.9.col,27897,250,0.896289156626506,92,0.19184909999603406,88,2.4448621999981697,10.031405900001118,2.859689500000968
DSJC500.1.col,12458,500,0.09986372745490982,16,0.23095820000162348,15,0.27440740000020014,0.35280190000048606,0.07835890000569634
DSJC500.5.col,62624,500,0.5019959919839679,65,0.8534615999960806,63,11.625991900000372,22.450222599996778,6.847750000000815
DSJC500.9.col,112437,500,0.9012985971943888,170,1.4906016000022646,160,153.1417677999998,153.1417677999998,23.933977500004403
DSJR500.1.col,3555,500,0.028496993987975953,13,0.1149479000014253,12,0.03398719999677269,0.06678219999594148,0.0327603999976418
DSJR500.1c.col,121275,500,0.9721442885771543,90,1.5853311000028043,90,89.89581909999833,89.89581909999833,19.18722830000479
DSJR500.5.col,58862,500,0.47183967935871746,130,0.9240598999967915,131,42.19485949999944,42.19485949999944,13.917288399999961
fpsol2.i.1.col,11654,496,0.3233091050324585,65,0.11769449999701465,65,0.3831324999991921,0.3831324999991921,0.38219289999688044
fpsol2.i.2.col,8691,451,0.13227706497420208,30,0.13454380000621313,30,0.1415915000034147,0.1415915000034147,0.1407376999995904
fpsol2.i.3.col,8688,425,0.1322314049586777,30,0.1344863999984227,30,0.15038230000209296,0.15038230000209296,0.14948379999987083
games120.col,1276,120,0.08935574229691877,9,0.008090299998002592,9,0.004192100001091603,0.004192100001091603,0.0040507000012439676
homer.col,3258,561,0.010558040054442932,13,0.11524690000078408,999,999,999,999
huck.col,602,74,0.1114402073306183,11,0.0022706999952788465,11,0.0030345000050147064,0.0030345000050147064,0.0029484999977285042
inithx.i.1.col,18707,864,0.13916724321348597,54,0.39121390000218526,54,0.5359249999964959,0.5359249999964959,0.5343301000029896
inithx.i.2.col,13979,645,0.08995321840633708,31,0.33429740000428865,31,0.2062491000033333,0.2062491000033333,0.2049087999985204
inithx.i.3.col,13969,621,0.0895672636107745,31,0.32277770000655437,31,0.20590100000117673,0.20590100000117673,0.20456419999391073
jean.col,508,80,0.08680792891319207,10,0.0023376999961328693,10,0.0025867000003927387,0.0025867000003927387,0.0025078999969991855
le450_15a.col,8168,450,0.08085127443702055,17,0.16391679999651387,15,0.1400835000022198,0.5404766999999993,0.3385483000020031
le450_15b.col,8169,450,0.08086117297698589,17,0.16395059999922523,15,0.13971590000437573,0.28053510000609094,0.07837730000028387
le450_15c.col,16680,450,0.16510764662212324,23,0.26727880000544246,22,0.8645141999950283,3.0023392000002787,2.1377723999976297
le450_15d.col,16750,450,0.1658005444196981,24,0.2635794000016176,22,0.7492130999962683,2.8757501000000047,1.9689948000013828
le450_25a.col,8260,450,0.08176194011383321,25,0.17425139999977546,25,0.13561199999821838,0.13561199999821838,0.1346899000054691
le450_25b.col,8263,450,0.08179163573372927,25,0.17059239999798592,25,0.12462249999953201,0.12462249999953201,0.12367570000060368
le450_25c.col,17343,450,0.17167037861915369,29,0.28001470000162954,26,0.4563845000011497,5.279614400002174,4.378924500000721
le450_25d.col,17425,450,0.1724820588963128,28,0.28159149999555666,27,0.6907991999978549,0.9134672000000137,0.22261900000012247
le450_5a.col,5714,450,0.056560257362039096,10,0.1226950000054785,8,0.0581984000018565,0.50042289999692,0.4125768999947468
le450_5b.col,5734,450,0.0567582281613462,10,0.12361440000677248,5,0.09145659999921918,4.130140500004927,0.12618620000284864
le450_5c.col,9803,450,0.09703538728037614,11,0.17004349999479018,5,0.11431839999568183,0.45359409999946365,0.02240479999454692
le450_5d.col,9757,450,0.0965800544419698,12,0.16876249999768334,5,0.21907249999640044,1.4233965000021271,0.026290300003893208
miles1000.col,6432,128,0.3956692913385827,42,0.016785799998615403,42,0.3193676000009873,0.3193676000009873,0.22306590000516735
miles1500.col,10396,128,0.6395177165354331,73,0.02320740000141086,73,0.20730229999753647,0.20730229999753647,0.20685680000315187
miles250.col,774,128,0.049935483870967745,8,0.00575639999442501,8,0.0029371999989962205,0.0029371999989962205,0.0028125000026193447
miles500.col,2340,128,0.14394685039370078,20,0.009299700002884492,20,0.015583100001094863,0.015583100001094863,0.01540250000107335
miles750.col,4226,128,0.2599655511811024,31,0.012810799998987932,31,0.19305750000057742,0.19305750000057742,0.15390089999709744
mug100_1.col,166,100,0.033535353535353536,4,0.0030900999990990385,4,0.001033699998515658,0.001033699998515658,0.0009462000016355887
mug100_25.col,166,100,0.033535353535353536,4,0.0030848000023979694,4,0.0010045000017271377,0.0010045000017271377,0.0009179999979096465
mug88_1.col,146,88,0.03814002089864159,4,0.0024147000003722496,4,0.0009200000058626756,0.0009200000058626756,0.0008472999979858287
mug88_25.col,146,88,0.03814002089864159,4,0.002635299999383278,4,0.000912900002731476,0.000912900002731476,0.0008392000017920509
mulsol.i.1.col,3925,197,0.41521210197820796,49,0.020308599996496923,49,0.10125519999564858,0.10125519999564858,0.10087759999441914
mulsol.i.2.col,3885,188,0.2611238069633015,31,0.027336200000718236,31,0.058652100000472274,0.058652100000472274,0.058272000002034474
mulsol.i.3.col,3916,184,0.26018204770447145,31,0.027892699996300507,31,0.059289900003932416,0.059289900003932416,0.058901199998217635
mulsol.i.4.col,3946,185,0.25917898193760264,31,0.02823359999456443,31,0.059769600004074164,0.059769600004074164,0.05937460000131978
mulsol.i.5.col,3973,186,0.257987012987013,31,0.028500100001110695,31,0.05987060000188649,0.05987060000188649,0.05947500000183936
myciel3.col,20,11,0.36363636363636365,4,9.490000229561701e-05,4,0.0003828000044450164,0.0003828000044450164,0.0003552999987732619
myciel4.col,71,23,0.28063241106719367,5,0.00023439999495167285,5,0.0005464999994728714,0.0005464999994728714,0.0005163000023458153
myciel5.col,236,47,0.2183163737280296,6,0.000984299993433524,6,0.0011569999987841584,0.0011569999987841584,0.0011023000042769127
myciel6.col,755,95,0.1690929451287794,7,0.004667900000640657,7,0.0032292000032612123,0.0032292000032612123,0.003110899997409433
myciel7.col,2360,191,0.13006337834114082,8,0.025686699998914264,8,0.008869099998264574,0.008869099998264574,0.008578000000852626
qg.order30.col,26100,900,0.06451612903225806,36,0.8047827999980655,30,1.1533593999993172,1.1533593999993172,0.39838760000566253
qg.order40.col,62400,1600,0.04878048780487805,45,3.2870489999986603,40,37.95061790000182,46.63531939999666,1.9106319000056828
qg.order60.col,212400,3600,0.03278688524590164,69,25.929092799997306,60,126.43151729999954,126.43151729999954,11.725426400000288
queen10_10.col,2940,100,0.296969696969697,15,0.011777200001233723,12,0.024848900000506546,0.05755289999797242,0.010936300001048949
queen11_11.col,3960,121,0.2727272727272727,15,0.011656700000457931,13,0.04704180000408087,0.0847252000021399,0.019231400001444854
queen12_12.col,5192,144,0.25213675213675213,16,0.015241699999023695,14,0.1112150000044494,0.77277110000432,0.6428453999978956
queen13_13.col,6656,169,0.23443223443223443,19,0.021946599998045713,16,0.10115379999479046,0.18137879999994766,0.027169399996637367
queen14_14.col,8372,196,0.21904761904761905,20,0.03190390000236221,17,0.12510170000314247,0.22896790000231704,0.032160599999770056
queen15_15.col,10360,225,0.20555555555555555,21,0.04320949999964796,18,0.2175201999998535,0.38169870000274386,0.07346469999902183
queen16_16.col,12640,256,0.19362745098039216,21,0.05855599999631522,19,0.41180549999990035,0.5491555000044173,0.0821769000031054
queen5_5.col,320,25,0.5333333333333333,5,0.00032440000359201804,5,0.0015147000012802891,0.0015147000012802891,0.0006599999978789128
queen6_6.col,580,36,0.4603174603174603,9,0.0006901000015204772,7,0.0017928000015672296,0.013120299998263363,0.009785900001588743
queen7_7.col,952,49,0.40476190476190477,11,0.0013431999977910891,7,0.045937299997603986,0.045937299997603986,0.010311099998943973
queen8_12.col,2736,96,0.3,14,0.005912900000112131,12,0.02937740000197664,0.053401400000439025,0.01471079999464564
queen8_8.col,1456,64,0.3611111111111111,11,0.002391800000623334,9,0.009090699997614138,0.5540276000028825,0.540021799999522
queen9_9.col,2112,81,0.32592592592592595,13,0.0040320999978575855,11,0.021725099999457598,0.04317029999947408,0.015267800001311116
school1.col,19095,385,0.2583198051948052,17,0.26157310000417056,14,3.3748701000004075,4.032264100002067,0.24302860000170767
school1_nsh.col,14612,352,0.23653198653198654,26,0.1847953000033158,14,1.279173199996876,3.4010143999985303,0.08795069999905536
wap01a.col,110871,2368,0.03956106772171411,46,9.813982600004238,45,39.90382189999946,53.494618299999274,13.590710900003614
wap02a.col,111742,2464,0.03682487832914142,46,10.449213400002918,43,10.0898789999992,50.92618709999806,14.91841089999798
wap03a.col,286722,4730,0.025636607733220913,56,60.55439160000242,50,9.78670840000268,71.67089169999963,8.579688700003317
wap04a.col,294902,5231,0.02155863723141896,47,70.04358139999385,47,76.18624109999655,76.18624109999655,31.09314049999375
wap05a.col,43081,905,0.1053170684007236,50,1.3753773999997065,50,2.234437599996454,2.234437599996454,2.230896200002462
wap06a.col,43571,947,0.09727167800397829,48,1.4476620999994338,42,1.1058126999996603,13.49628240000311,1.7819850999949267
wap07a.col,103368,1809,0.0632090286032962,46,7.000453900000139,43,14.24329189999844,38.68379409999761,12.56514280000556
wap08a.col,104176,1870,0.05961379444525512,44,7.371048599998176,43,28.943519799999194,38.06897459999891,9.125396600000386
will199GPIA.col,7065,701,0.027601385775422864,7,0.26236490000155754,7,0.08779759999742964,0.08779759999742964,0.022836500000266824
zeroin.i.1.col,4100,211,0.5206349206349207,49,0.01977880000049481,49,0.10324620000028517,0.10324620000028517,0.10288299999956507
zeroin.i.2.col,3541,211,0.28915564265882737,30,0.023719099997833837,30,0.051042500002949964,0.051042500002949964,0.05068790000223089
zeroin.i.3.col,3540,206,0.28907398334149925,30,0.023889799995231442,30,0.051252700002805796,0.051252700002805796,0.050899200003186706
